id,title,year,rating,category,cast,director,summary,poster,created_at,updated_at
1426,Sushi Girl,2012,3,Thrillers,"Tony Todd, James Duval, Noah Hathaway, Andy Mackenzie, Mark Hamill, Cyrus Alexander, Michael Biehn, Sonny Chiba, Danny Trejo, Jeff Fahey",Kern Saxton,"Upon his release from prison, a convicted thief is treated to a lavish dinner by his former criminal cohorts. But when it turns out they're only after the diamonds he stole six years prior, the evening takes a violent, bloody turn for the worse.",http://netflixroulette.net/api/posters/70245658.jpg,2016-05-02 22:58:50 UTC,2016-05-02 22:58:50 UTC
1427,Airborne,2012,3,Horror Movies,"Craig Conway, Simon Phillips, Gemma Atkinson, Sebastian Street, Kimberly Jaraj, Fiona Ryan, Jazz Lintott, Mark Hamill, Alan Ford, Julian Glover",Dominic Burns,"After takeoff, the passengers on a plane discover that the pilots have been brutally murdered. Suddenly, the plane disappears off the radar, and one by one, the passengers turn into dangerous, bloody psychopaths.",http://netflixroulette.net/api/posters/70251950.jpg,2016-05-02 22:58:50 UTC,2016-05-02 22:58:50 UTC
1428,The Incredible Hulk,1996,3,TV Shows,"Lou Ferrigno, Matt Frewer, Mark Hamill, John Vernon, Neal McDonough, Kevin Schon, Genie Francis, Luke Perry, Michael Donovan, Thom Barry","","When research scientist Bruce Banner is blasted with a gamma ray bomb during an experiment gone wrong, he develops a dangerous alter ego -- a mean, green monster known as the Incredible Hulk -- who emerges when he gets angry.",http://netflixroulette.net/api/posters/70184166.jpg,2016-05-02 22:58:50 UTC,2016-05-02 22:58:50 UTC
1429,Metalocalypse,2006,4,TV Shows,"Tommy Blacha, Brendon Small, Mark Hamill, Victor Brandt, Malcolm McDowell","","This outlandish series follows the antics of Dethklok, a death metal band so successful that it's become the seventh-largest economy in the world, and its five Scandinavian members have no limits on their credit cards or rampant egos.",http://netflixroulette.net/api/posters/70155580.jpg,2016-05-02 22:58:50 UTC,2016-05-02 22:58:50 UTC
1430,Regular Show,2010,4,TV Shows,"J.G. Quintel, William Salyers, Sam Marin, Mark Hamill","","Nothing is as you'd expect in this offbeat animated series about a raccoon and a blue jay who have day jobs keeping grounds at a local park and trying to please their unconventional boss -- a walking, talking taskmaster of a gumball machine.",http://netflixroulette.net/api/posters/70221402.jpg,2016-05-02 22:58:50 UTC,2016-05-02 22:58:50 UTC
1431,The New Woody Woodpecker Show,1999,3,TV Shows,"Billy West, Mark Hamill, Elizabeth Daily, B.J. Ward, Andrea Martin, Julie Brown","","The new Woody Woodpecker animated series presents a fresh take on the favorite Walter Lantz characters that first came to life in 1941. Woody Woodpecker is quick on his feet, unpredictable and easily identifiable by his trademark cackle.",http://netflixroulette.net/api/posters/70222717.jpg,2016-05-02 22:58:50 UTC,2016-05-02 22:58:50 UTC
1432,Sin Reaper,2012,3,Horror Movies,"Helen Mutch, Lance Henriksen, Hazuki Kato, Patrick J. Thomas, Paulina Bachmann, Andrew James Porter, Adrian Tauss, Nicolai Tegeler, Nico Sentner, Alexander Kiersch",Sebastian Bartolitius,"A disturbed woman who seeks to understand her past ends up at a former monastery in Germany, where a masked killer pursues her and her companions.",http://netflixroulette.net/api/posters/70286311.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1433,The Terminator,1984,3,Action & Adventure,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield, Lance Henriksen, Rick Rossovich, Bess Motta, Earl Boen, Dick Miller, Shawn Schepps",James Cameron,"In the post-apocalyptic future, tyrannical machines teleport a cyborg to 1984 to a kill a woman whose unborn son is destined to lead the human rebels.",http://netflixroulette.net/api/posters/1032625.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1434,The Book of Daniel,2013,3,Faith and Spirituality,"Robert Miano, Lance Henriksen, Kevin McCorkle, Rolf Saxon","","In 605 B.C. Jerusalem was conquered by the Babylonnians and many of their best young men were taken into captivity, including Daniel. Daniel was taken to Babylon to serve it. As Powerful King , Nebuchandnezzar. Daniel as an example of boldness and faithfulness to God in the most difficult circumstances had eternal impact on the people and the kings that he encountered.",http://netflixroulette.net/api/posters/70300518.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1435,Hellraiser: Hellworld,2005,3,Cult Movies,"Lance Henriksen, Katheryn Winnick, Christopher Jacot, Khary Payton, Henry Cavill, Anna Tolputt, Doug Bradley, Stelian Urian, Catalina Alexandru",Rick Bota,"In this eighth installment of Clive Barker's film franchise, a group of Internet enthusiasts get sucked into a video game and soon score an invite to an exclusive and mysterious gathering, where the lines between cyberlife and reality are blurred. But when the soiree starts, the computer whizzes realize their host is none other than the maniacal Pinhead (Doug Bradley). And unfortunately for them, he knows how to throw a killer party.",http://netflixroulette.net/api/posters/70037058.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1436,Dead Man,1995,3,Action & Adventure,"Johnny Depp, Gary Farmer, Crispin Glover, Lance Henriksen, Michael Wincott, Eugene Byrd, John Hurt, Robert Mitchum, Iggy Pop, Gabriel Byrne",Jim Jarmusch,"Only Jim Jarmusch could direct a Western like this: a poetry-loving American Indian mistakes accountant William Blake (Johnny Depp) for the English writer by the same name, while bounty hunters take Blake for a murderer. Jarmusch packs his independent-minded film with an unlikely collection of castmates, including Iggy Pop, Gabriel Byrne, John Hurt -- and Robert Mitchum, in one of his final big-screen roles.",http://netflixroulette.net/api/posters/60000659.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1437,Mimic 3: Sentinel,2003,2,Horror Movies,"Karl Geary, Amanda Plummer, Alexis Dziena, Rebecca Mader, John Kapelos, Lance Henriksen",J.T. Petty,"Sickly Marvin spends his days watching his neighbors through his apartment window, until one evening, he notices them disappearing. Upon further investigation, he discovers that the entire neighborhood has become infested by giant killer cockroaches.",http://netflixroulette.net/api/posters/60030146.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1438,Madhouse,2004,3,Horror Movies,"Joshua Leonard, Jordan Ladd, Natasha Lyonne, Lance Henriksen, Dendrie Taylor, Leslie Jordan, Patrika Darbo, Christian Leffler, Newell Alexander, Dan Callahan",William Butler,"Psychiatry intern Clark Stevens investigates the murder of a nurse at Cunningham Hall Mental Facility, home to a slew of dangerous psychotics. Soon, he encounters supernatural forces that would drive any sane person mad.",http://netflixroulette.net/api/posters/70015969.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1439,"Nightmares in Red, White and Blue",2009,3,Documentaries,"Lance Henriksen, John Carpenter, Joe Dante, Roger Corman, George A. Romero, Darren Lynn Bousman, Larry Cohen, Mick Garris, Tom McLoughlin, John Kenneth Muir",Andrew Monument,"Horror and sci-fi veteran Lance Henriksen narrates this fascinating look at the history of the American horror film, examining the earliest monster movies of the silent era up to the scariest modern-day masterpieces.",http://netflixroulette.net/api/posters/70135890.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1440,Phantom,2013,3,Thrillers,"Ed Harris, David Duchovny, William Fichtner, Lance Henriksen, Johnathon Schaech, Sean Patrick Flanery, Jason Beghe, Dagmara Dominczyk, Jason Gray-Stanford, Kip Pardue",Todd Robinson,"A Cold War Soviet submarine captain struggles with a rogue KGB group trying to seize control of the ship's nuclear missile. Meanwhile, he secretly suffers from seizures that affect his grip on reality.",http://netflixroulette.net/api/posters/70267630.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1441,Spitfire,1995,3,Action & Adventure,"Lance Henriksen, Debra Jo Fondren, Sarah Douglas, Tim Thomerson, Gary Schmoeller, Terri Conn, Viktor Makhov, Jackie Brummer, Jessica G. Budin, George Athens",Albert Pyun,"Charlie Case is beautiful, talented and a martial arts expert. When her mother is murdered and her father is kidnapped, Charlie sets out to solve the mystery with the help of Rex Beechum, a tough sports reporter with a nose for a good story.",http://netflixroulette.net/api/posters/70271211.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1442,The Invitation,2003,3,Thrillers,"Lance Henriksen, Christopher Shyer, Sarah-Jane Redmond, Stefanie von Pfetten, Fred Henderson, Stellina Rusich, Douglas O'Keeffe, David Livingstone, Lideo Baldeon",Pat Bermel,"When an author invites his friends to his home on a private island, the guests realize they've been poisoned at dinner. Now, the only way to receive the antidote from their twisted host will be to confess to all the lies they've ever told.",http://netflixroulette.net/api/posters/60032921.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1443,Vampires: Out for Blood,2004,3,Horror Movies,"Ismail Kanater, Jim Ortlieb, Jodi Lyn O'Keefe, Kevin Dillon, Lance Henriksen, Vanessa Angel",Richard Brandes,"When teenagers start disappearing from all-night raves, Detective Hank Holten gets put on the case but becomes unhinged after learning the grisly truth: that vampires are using the parties as a feeding ground.",http://netflixroulette.net/api/posters/70020500.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1444,Dream Warrior,2003,2,Horror Movies,"Daniel Goddard, Lance Henriksen, Sherilyn Fenn, Richard Norton, Bojana Gregoric, Isaac Hayes",Zachary Weintraub,"In a post-apocalyptic future, the despotic Parish leads a new civilization that's sprung up among the ruins. But his hunger for a ""pure"" human culture is hampered by a threat to his authority from a handful of superpowered genetic mutants.",http://netflixroulette.net/api/posters/70018791.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1490,The Stand,1994,3,TV Shows,"Gary Sinise, Molly Ringwald, Jamey Sheridan, Rob Lowe, Miguel Ferrer, Matt Frewer, Laura San Giacomo, Ruby Dee, Ossie Davis, Corin Nemec","","When a super-flu decimates most -- but not all -- of the human race, the lonely survivors divide into two civilizations which are destined to clash.",http://netflixroulette.net/api/posters/70202610.jpg,2016-05-02 22:58:54 UTC,2016-05-02 22:58:54 UTC
1445,The Genesis Code,2010,4,Dramas,"Logan Bartholomew, Kelsey Sanders, Lance Henriksen, Fred Dalton Thompson, Catherine Hicks, Ernest Borgnine, Susan Blakely","C. Thomas Howell, Patrick Read Johnson","Journalism student Kerry has been assigned to do a story on Blake, a college hockey star. As they begin to forge a relationship, Kerry learns that Blake believes religion isn't compatible with science -- and then sets out to convince him otherwise.",http://netflixroulette.net/api/posters/70233952.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1446,The Da Vinci Treasure,2006,2,Action & Adventure,"C. Thomas Howell, Lance Henriksen, Nicole Sherwin, Alexis Zibolis, Jason S. Gray, Antonio Jaramillo, Timothy Casto, Rocky Hart",Peter Mervis,"Unrelated to Dan Brown's novel and film adaptation, C. Thomas Howell stars as a forensic anthropologist who decodes ancient clues in his quest for treasure in this direct-to-DVD thriller.",http://netflixroulette.net/api/posters/70061945.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1447,Pirates of Treasure Island,2006,2,Action & Adventure,"Lance Henriksen, Tom Nagel, Rebekah Kochan, Rhett Giles, Jeff Denton, James Ferris, Derek Osedach, Justin Jones, David Shick",Leigh Scott,"After stumbling upon a map that points to a stash of buried treasure, a humble innkeeper's son (Tom Nagel) enlists the help of infamous pirate Long John Silver (Lance Henriksen) and his crew of rebellious mates. But can this motley group find Skeleton Island -- or will someone else beat them to it? Leigh Slawner directs this independent action adventure film based loosely on the novel by Robert Louis Stevenson.",http://netflixroulette.net/api/posters/70061950.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1448,Tron: Uprising,2012,4,TV Shows,"Elijah Wood, Tricia Helfer, Bruce Boxleitner, Paul Reubens, Lance Henriksen, Emmanuelle Chriqui, Mandy Moore, Nathan Corddry, Reginald Veljohnson","","Inside the computer-generated alternate world of the Grid, young Beck is poised to become the next Tron, determined to free his friends from evil Clu. Training to fight and light cycle with Tron's guidance, Beck becomes the leader of a revolution.",http://netflixroulette.net/api/posters/70275375.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1449,Tarzan 2,2005,3,Children & Family Movies,"Harrison Chad, Brenda Grate, George Carlin, Brad Garrett, Estelle Harris, Lance Henriksen, Harrison Fahn, Glenn Close",Brian Smith,How did the King of the Jungle ascend to the throne? Find out in this charming prequel to the hit animated movie that catches Tarzan as a young child.,http://netflixroulette.net/api/posters/70026432.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1450,The Horror Show,1989,3,Horror Movies,"Lance Henriksen, Brion James, Rita Taggart, Dedee Pfeiffer, Aron Eisenberg, Thom Bray, Matt Clark, David Oliver, Terry Alexander",James Isaac,"In the midst of being executed in the electric chair, mass murderer Max transforms from flesh and blood into a free-floating supernatural essence.",http://netflixroulette.net/api/posters/70146905.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1451,Damien: Omen II,1978,3,Horror Movies,"William Holden, Lee Grant, Jonathan Scott-Taylor, Robert Foxworth, Nicholas Pryor, Lew Ayres, Sylvia Sidney, Lance Henriksen, Elizabeth Shepherd, Allan Arbus",Don Taylor,"Seven years after Damien Thorn's dad tried to slay him, the demon child, now an angry teenager, begins to learn of his unholy heritage.",http://netflixroulette.net/api/posters/60002152.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1452,Decoding Deepak,2012,3,Documentaries,Deepak Chopra,Gotham Chopra,"Journalist Gotham Chopra embarks on a road trip with his father, Deepak Chopra, to reconcile the spiritual icon with the real man known to his family.",http://netflixroulette.net/api/posters/70234702.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1453,America the Beautiful 2: The Thin Commandments,2011,3,Documentaries,"Darryl Roberts, Deepak Chopra, Timothy Dolan, Kathleen Sebilius",Darryl Roberts,"Documentary provocateur Darryl Roberts returns with another look at the American beauty industry, this time examining how the national obsession with weight loss has negatively affected our perception of what really constitutes a healthy weight.",http://netflixroulette.net/api/posters/70209265.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1454,The Secret,2006,3,Documentaries,"Bob Proctor, Joe Vitale, John Assaraf, Loral Langemeier, Marie Diamond, Michael Beckwith, Jack Canfield, Bob Doyle, Mike Dooley, Lisa Nichols","Drew Heriot, Sean Byrne, Marc Goldenfein, Damian McLindon","An assembly of writers, philosophers and scientists share The Secret, a principle that reputedly brought success to Plato, da Vinci and other greats and that can empower viewers to attain success in their own careers, relationships and health.",http://netflixroulette.net/api/posters/70063484.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1455,The Mighty,1998,3,Dramas,"Sharon Stone, James Gandolfini, Kieran Culkin, Harry Dean Stanton, Gillian Anderson, Gena Rowlands, Elden Henson",Peter Chelsom,"When Kevin, who has a rare physical disorder, meets learning-disabled but very large and strong Max, they bond over a fantasy world of knights and sorcery, and the two outcasts combine their strengths at home and school to overcome their weaknesses.",http://netflixroulette.net/api/posters/5670487.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1456,Sunset Strip,2012,3,Documentaries,"Johnny Depp, Keanu Reeves, Mickey Rourke, Ozzy Osbourne, Courtney Love, Sharon Stone, Pamela Des Barres, Alice Cooper, Hugh M. Hefner, Perry Farrell",Hans Fjellestad,This valentine to one of Los Angeles' most celebrated thoroughfares reveals its nearly 100-year history and its significance in culture worldwide. Photos and interviews capture the Strip and famed habitués from mobsters to Hugh Hefner to Johnny Depp.,http://netflixroulette.net/api/posters/70298579.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1457,Calendar Girl Murders,1984,2,Thrillers,"Tom Skerritt, Sharon Stone, Barbara Bosson, Robert Beltran, Pat Corley, Robert Morse, Alan Thicke, Silvana Gallardo, Michael C. Gwynne, Robert Culp",William A. Graham,"Millionaire Richard Trainor's (Robert Culp) new pinup calendar is selling like hotcakes thanks to the gorgeous 12 women who posed nude for the photo shoot. But now, someone's killing them one by one, and it's up to police officer Dan Stoner (Tom Skerritt) to catch the murderer. Is photographer Cassie Bascomb (Sharon Stone) who Stoner should be investigating? Alan Thicke co-stars in this crime thriller.",http://netflixroulette.net/api/posters/70035059.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1458,Deadly Blessing,1981,2,Cult Movies,"Maren Jensen, Sharon Stone, Susan Buckner, Jeff East, Ernest Borgnine, Lisa Hartman, Colleen Riley, Douglas Barr, Lois Nettleton",Wes Craven,"After being cast out of a cult-like religious community, Martha's husband Jim dies in a freak accident. Martha's friends arrive to console her, but soon it becomes clear that they're all in grave danger.",http://netflixroulette.net/api/posters/60035952.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1459,Broken Flowers,2005,3,Comedies,"Bill Murray, Jeffrey Wright, Sharon Stone, Frances Conroy, Jessica Lange, Tilda Swinton, Julie Delpy, Heather Simms, Brea Frazier, Alexis Dziena",Jim Jarmusch,"After being dumped by yet another girlfriend, serial bachelor Don vows he'll be alone forever. But when an anonymous letter informs him he has a 19-year-old son, Don sets out on a cross-country journey to confront his past -- and a few old flames.",http://netflixroulette.net/api/posters/70033389.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1460,Basic Instinct,1992,3,Thrillers,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt, Leilani Sarelle, Bruce A. Young, Chelcie Ross, Dorothy Malone, Wayne Knight",Paul Verhoeven,"Det. Curran pursues a case involving Catherine, a writer and temptress who is suspected in a murder reminiscent of a crime detailed in her book.",http://netflixroulette.net/api/posters/286139.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1461,King Solomon's Mines,1985,3,Action & Adventure,"Richard Chamberlain, Sharon Stone, Herbert Lom, John Rhys-Davies, Ken Gampu, June Buthelezi, Sam Williams, Shaike Ophir, Mick Lesley, Vincent Van der Byl",J. Lee Thompson,"Richard Chamberlain (The Thorn Birds) stars in this action adventure as Allan Quatermain, the rough-and-tumble fortune hunter who boldly takes on cannibals, Nazis and big game to rescue an archaeologist who's recently been kidnapped in Africa.",http://netflixroulette.net/api/posters/70090179.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1462,Allan Quatermain and the Lost City of Gold,1987,3,Action & Adventure,"Richard Chamberlain, Sharon Stone, James Earl Jones, Henry Silva, Robert Donner, Doghmi Larbi, Aileen Marson, Cassandra Peterson, Martin Rabbett, Rory Kilalea",Gary Nelson,"In this sequel to 1985's King Solomon's Mines, Allan Quatermain returns to the jungles of Africa with his fiancée to look for his missing brother, Robeson. But the daring journey yields far more than they'd ever imagined.",http://netflixroulette.net/api/posters/60033885.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1463,"He Said, She Said",1991,3,Comedies,"Kevin Bacon, Elizabeth Perkins, Nathan Lane, Anthony LaPaglia, Sharon Stone, Stnaley Anderson, Charlayne Woodard, Danton Stone","Marisa Silver, Ken Kwapis","When a conservative cad and a mild-mannered liberal are pitted against each other in newspaper columns and a TV show, they discover they're in love.",http://netflixroulette.net/api/posters/60021506.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1464,Fading Gigolo,2013,3,Independent Movies,"John Turturro, Woody Allen, Vanessa Paradis, Liev Schreiber, Sharon Stone, Sofía Vergara, M'Barka Ben Taleb, Tonya Pinkins",John Turturro,Middle-aged Fioravante and Murray are an unlikely gigolo and pimp in this farce about two friends who turn to the sex trade to make ends meet.,http://netflixroulette.net/api/posters/70293662.jpg,2016-05-02 22:58:51 UTC,2016-05-02 22:58:51 UTC
1465,Heartbreakers,2001,3,Comedies,"Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee, Gene Hackman, Anne Bancroft, Jeffrey Jones, Nora Dunn, Ricky Jay, Zach Galifianakis",David Mirkin,"In this stylish comedy, a mother-daughter con team makes money the old-fashioned way: They swindle it. After Mom seduces and weds a love-struck bachelor, she scams him for a big divorce settlement -- with help from her daughter as ""the other woman.""",http://netflixroulette.net/api/posters/60020236.jpg,2016-05-02 22:58:52 UTC,2016-05-02 22:58:52 UTC
1466,Reds,1981,3,Oscar-winning Movies,"Warren Beatty, Diane Keaton, Edward Herrmann, Jerzy Kosinski, Jack Nicholson, Paul Sorvino, Maureen Stapleton, M. Emmet Walsh, Gene Hackman, Ian Wolfe",Warren Beatty,"Radical journalist and socialist John Reed (Warren Beatty), along with his paramour, protofeminist Louise Bryant (Diane Keaton), gets swept up in the world-changing spirit, euphoria and aftermath of Russia's 1917 Bolshevik Revolution and the newly founded Soviet Union. Jack Nicholson, Paul Sorvino, Edward Herrmann, M. Emmet Walsh and Maureen Stapleton co-star in this Beatty-directed, Oscar-winning epic.",http://netflixroulette.net/api/posters/898443.jpg,2016-05-02 22:58:52 UTC,2016-05-02 22:58:52 UTC
1467,The French Connection II,1975,3,Action & Adventure,"Gene Hackman, Fernando Rey, Bernard Fresson, Philippe Léotard, Ed Lauter, Charles Millot, Jean-Pierre Castaldi, Cathleen Nesbitt, Pierre Collet, Jean-Pierre Zola",John Frankenheimer,"This sequel picks up where the original film left off, with narcotics officer Jimmy ""Popeye"" Doyle still searching for elusive drug kingpin Charnier. Orders from the captain send Doyle to Marseilles, France, to track down the criminal mastermind.",http://netflixroulette.net/api/posters/60021048.jpg,2016-05-02 22:58:52 UTC,2016-05-02 22:58:52 UTC
1468,Uncommon Valor,1983,3,Action & Adventure,"Gene Hackman, Robert Stack, Fred Ward, Reb Brown, Randall Tex Cobb, Patrick Swayze, Harold Sylvester, Tim Thomerson, Jane Kaczmarek, Michael Dudikoff",Ted Kotcheff,"In this powerful, action-packed adventure, a colonel tears his way through Vietnam to find his son, who's been MIA for over a decade.",http://netflixroulette.net/api/posters/60020950.jpg,2016-05-02 22:58:52 UTC,2016-05-02 22:58:52 UTC
1469,The Birdcage,1996,3,Comedies,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest, Dan Futterman, Calista Flockhart, Hank Azaria, Christine Baranski, Tom McGowan, Grant Heslov",Mike Nichols,"Longtime gay lovers Armand and Albert feel compelled to pass themselves off as a ""normal"" family when Armand's son announces his intent to marry.",http://netflixroulette.net/api/posters/308880.jpg,2016-05-02 22:58:52 UTC,2016-05-02 22:58:52 UTC
1470,The French Connection,1971,3,Classic Movies,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco, Marcel Bozzuffi, Frederic de Pasquale, Bill Hickman, Ann Rebbot, Harold Gary, Arlene Farber",William Friedkin,"Tough narcotics detective ""Popeye"" Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.",http://netflixroulette.net/api/posters/60011660.jpg,2016-05-02 22:58:52 UTC,2016-05-02 22:58:52 UTC
1471,Red Obsession,2013,3,Documentaries,"Russell Crowe, Fongyee Walker, Peter Tseng, Tim Tse, Demei Li, Steven Spurrier","David Roach, Warwick Ross",Russell Crowe narrates this sobering study of how the tastes of China's nouveau riche are driving up wine prices in France's Bordeaux region.,http://netflixroulette.net/api/posters/70273710.jpg,2016-05-02 22:58:52 UTC,2016-05-02 22:58:52 UTC
1472,Heaven's Burning,1997,2,Action & Adventure,"Russell Crowe, Youki Kudoh, Kenji Isomura, Ray Barrett, Robert Mammone, Petru Gheorghiu, Anthony Phelan, Matthew Dyktynski, Colin Hay, Susan Prior",Craig Lahiff,"While honeymooning in the land Down Under, reluctant Japanese bride Midori (Youki Kudoh) decides to free herself from an arranged marriage by faking her abduction. Ironically, she soon ends up as a hostage thanks to a botched bank holdup. That is, until the getaway driver (Russell Crowe) intervenes and rescues her. The chase is on as the duo attempts to elude the cops, the crooks and Midori's humiliated spouse in this taut Australian thriller.",http://netflixroulette.net/api/posters/60003179.jpg,2016-05-02 22:58:52 UTC,2016-05-02 22:58:52 UTC
1473,Buried Alive,2007,2,Horror Movies,"Terence Jay, Leah Rachel, Tobin Bell, Erin Reese, Steve Sandvoss, Germaine De Leon, Lindsey Scott",Robert Kurtzman,"College shenanigans take a terrifying turn when a group of students stay in an abandoned ranch house. The plan is part of a sorority prank, but all hell breaks loose when one student's secret search for a lost treasure awakens a ghostly evil.",http://netflixroulette.net/api/posters/70079446.jpg,2016-05-02 22:58:53 UTC,2016-05-02 22:58:53 UTC
1474,The Road to El Dorado,2000,3,Comedies,"Kevin Kline, Kenneth Branagh, Rosie Pérez, Armand Assante, Edward James Olmos, Jim Cummings, Frank Welker, Tobin Bell, Duncan Marjoribanks, Elton John","Bibo Bergeron, Will Finn, Don Paul, David Silverman","Two Spanish con men win a map to the legendary city of gold, but when they reach El Dorado, things don't go according to plan.",http://netflixroulette.net/api/posters/60000171.jpg,2016-05-02 22:58:53 UTC,2016-05-02 22:58:53 UTC
1475,Close Encounters of the Third Kind: 30th Anniversary Ultimate Edition,1977,3,Sci-Fi & Fantasy,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon, Bob Balaban, J. Patrick McNamara, Warren J. Kemmerling, Roberts Blossom, Philip Dodds, Cary Guffey",Steven Spielberg,"A cable line worker, a single mother and others who sight mysterious lights in the sky are inexplicably drawn to the same isolated spot in the desert.",http://netflixroulette.net/api/posters/70095540.jpg,2016-05-02 22:58:53 UTC,2016-05-02 22:58:53 UTC
1476,Citizen's Band,1977,3,Comedies,"Paul Le Mat, Candy Clark, Bruce McGill, Roberts Blossom, Charles Napier, Ann Wedgeworth, Marcia Rodd, Ed Begley Jr., Harry Northup",Jonathan Demme,"Director Jonathan Demme weaves disarmingly quirky tales of the colorful characters who gab on a CB (Citizens' Band) radio in a rural Nebraska town. Spider has it out for a priest, while big-hearted Chrome Angel has to contend with two wives.",http://netflixroulette.net/api/posters/70154436.jpg,2016-05-02 22:58:53 UTC,2016-05-02 22:58:53 UTC
1477,Escape from Alcatraz,1979,3,Dramas,"Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau, Fred Ward, Paul Benjamin, Larry Hankin, Bruce M. Fischer, Frank Ronzio",Don Siegel,Lifer Frank Morris plans his unauthorized departure from Alcatraz in this thriller based on the penitentiary's only successful jailbreak.,http://netflixroulette.net/api/posters/480144.jpg,2016-05-02 22:58:53 UTC,2016-05-02 22:58:53 UTC
1478,Looking for Richard,1996,3,Documentaries,"Al Pacino, Penelope Allen, Gordon MacDonald, Madison Arnold, Vincent Angell, Harris Yulin, Alec Baldwin, Timmy Prairie, Landon Prairie, Kevin Conway",Al Pacino,"Oscar winner and renowned thespian Al Pacino searches for a way to channel Shakespeare's flawed hero in this self-effacing documentary that faithfully chronicles what went on behind the scenes when ""Richard III"" was revived for the New York stage.",http://netflixroulette.net/api/posters/70038710.jpg,2016-05-02 22:58:53 UTC,2016-05-02 22:58:53 UTC
1479,Paradise Alley,1978,3,Dramas,"Sylvester Stallone, Lee Canalito, Armand Assante, Frank McRae, Anne Archer, Kevin Conway, Terry Funk, Joyce Ingalls, Joe Spinell, Aimee Eccles",Sylvester Stallone,"Three down-and-out brothers struggle to find a way out of New York's seedy Hell's Kitchen just after World War II -- including hustler Cosmo, who tries to ""manage"" his younger, bigger sibling Victor as a ham-and-egg fighter in the ring.",http://netflixroulette.net/api/posters/70020563.jpg,2016-05-02 22:58:53 UTC,2016-05-02 22:58:53 UTC
1480,Two Family House,2000,3,Dramas,"Michael Rispoli, Kelly Macdonald, Katherine Narducci, Kevin Conway, Matt Servitto, Michele Santopietro, Louis Guss, Rosemary De Angelis, Vincent Pastore",Raymond De Felitta,"After Buddy Visalo buys a run-down home, he plans to transform the bottom floor into a neighborhood bar. But first he must oust the current tenants.",http://netflixroulette.net/api/posters/60002280.jpg,2016-05-02 22:58:53 UTC,2016-05-02 22:58:53 UTC
